"lang"
{
"Language"	"russian"
	"Game_notification_necro_mode_message2"				"<font color='#DBA901'><br>ОСОБЕННОСТИ:  </font>  <font color='#FF6347'> Все союзники рошана получают дебафф уменьшающий регенерацию здоровья на 0.5% !\n Элитный юнит в армии тьмы - \"Разносчик порчи\" ! </font> "
	"choose_boss_necro_name"							"ВЛАДЫКА ПОРЧИ "
	"choose_boss_necro_osobenosti"						"Элитный юнит в армии тьмы - \"Разносчик порчи\" <br>Все союзники рошана получают дебафф уменьшающий регенерацию здоровья на 0.5%<br>"

	"Game_notification_boss_spawn_sans"				"<font color='#7FFF00'><br>САНС: </font>  <font color='#FFD700'> Какой прекрасный денёк снаружи... птички поют... цветочки цветут... \n в такие дни... дети, как ты... ДОЛЖНЫ ГОРЕТЬ В АДУ !</font> "
	"Game_notification_sans_end_message"				"<font color='#7FFF00'><br>САНС: </font>  <font color='#FFD700'> Что-то я утомился . . .  </font> "

	//Elemental rapier requests
	"Game_notification_fire_rapier_request_message"				"<font color='#FF4500'>ДУХИ ОГНЕННОЙ РАПИРЫ : </font><font color='#FFD700'> Ты еще слишком слаб , чтобы носить эту реликвию ! <br> НЕОБХОДИМО АТРИБУТОВ : <font color='#FF4500'>750</font></font>"
	"Game_notification_wind_rapier_request_message"				"<font color='#C0C0C0'>ДУХИ ВОЗДУШНОЙ РАПИРЫ : </font><font color='#FFD700'> Ты еще слишком слаб , чтобы носить эту реликвию ! <br> НЕОБХОДИМО АТРИБУТОВ : <font color='#C0C0C0'>500</font></font>"
	"Game_notification_earth_rapier_request_message"				"<font color='#8B4513'>ДУХИ ЗЕМЛЯННОЙ РАПИРЫ : </font><font color='#FFD700'> Ты еще слишком слаб , чтобы носить эту реликвию ! <br> НЕОБХОДИМО АТРИБУТОВ : <font color='#8B4513'>500</font></font>"
	"Game_notification_ice_rapier_request_message"				"<font color='#00FFFF'>ДУХИ ЛЕДЯНОЙ РАПИРЫ : </font><font color='#FFD700'> Ты еще слишком слаб , чтобы носить эту реликвию ! <br> НЕОБХОДИМО АТРИБУТОВ : <font color='#00FFFF'>500</font></font>"
	"Game_notification_fire_rapier_request_message1"				"<font color='#FF4500'>ДУХИ ОГНЕННОЙ РАПИРЫ : </font><font color='#FFD700'> Нельзя носить более одной элементальной рапиры ! "
	"Game_notification_wind_rapier_request_message1"				"<font color='#C0C0C0'>ДУХИ ВОЗДУШНОЙ РАПИРЫ : </font><font color='#FFD700'> Нельзя носить более одной элементальной рапиры ! "
	"Game_notification_earth_rapier_request_message1"				"<font color='#8B4513'>ДУХИ ЗЕМЛЯННОЙ РАПИРЫ : </font><font color='#FFD700'> Нельзя носить более одной элементальной рапиры ! "
	"Game_notification_ice_rapier_request_message1"				"<font color='#00FFFF'>ДУХИ ЛЕДЯНОЙ РАПИРЫ : </font><font color='#FFD700'> Нельзя носить более одной элементальной рапиры ! "
	"Game_notification_cursed_rapier_request_message"				"<font color='#00FF00'>ДУХИ ПРОКЛЯТОЙ РАПИРЫ : </font><font color='#FFD700'> Ты еще слишком слаб , чтобы носить эту реликвию ! <br> НЕОБХОДИМО АТРИБУТОВ : <font color='#00FF00'>1000</font></font>"

	"Game_notification_cuirass_cursed_request_message"				"<font color='#00FF00'>ДУХИ ПРОКЛЯТОЙ БРОНИ : </font><font color='#FFD700'> Ты еще слишком слаб , чтобы носить эту реликвию ! <br> НЕОБХОДИМО АТРИБУТОВ : <font color='#00FF00'>1000</font></font>"

	"Game_notification_wolf_announce"				"<font color='#FFD700'> ВОЛКИ : Спасибо , что освободили нас . Теперь мы присоединимся к вашей армии !</font>"
	"Game_notification_centaur_announce"			"<font color='#FFD700'> КЕНТАВРЫ : Спасибо , что освободили нас . Теперь мы присоединимся к вашей армии !</font>"
	"Game_notification_ogre_announce"				"<font color='#FFD700'> ОГРЫ : Спасибо , что освободили нас . Теперь мы присоединимся к вашей армии !</font>"
	"Game_notification_dragon_announce"				"<font color='#FFD700'> ДРАКОНЫ : Спасибо , что освободили нас . Теперь мы присоединимся к вашей армии !</font>"
	"Game_notification_kobold_announce"				"<font color='#FFD700'> КОБОЛЬДЫ : Спасибо , что освободили нас . Теперь мы присоединимся к вашей армии !</font>"
	"Game_notification_golem_announce"				"<font color='#FFD700'> ГОЛЕМЫ : Спасибо , что освободили нас . Теперь мы присоединимся к вашей армии !</font>"
	"Game_notification_troll_announce"				"<font color='#FFD700'> ТРОЛЛИ : Спасибо , что освободили нас . Теперь мы присоединимся к вашей армии !</font>"
	"Game_notification_satyr_announce"				"<font color='#FFD700'> САТИРЫ : Спасибо , что освободили нас . Теперь мы присоединимся к вашей армии !</font>"
	"Game_notification_ursa_announce"				"<font color='#FFD700'> МЕДВЕДИ : Спасибо , что освободили нас . Теперь мы присоединимся к вашей армии !</font>"
	"Game_notification_lizard_announce"				"<font color='#FFD700'> ГРОМОВЫЕ ЯЩЕРЫ : Спасибо , что освободили нас . Теперь мы присоединимся к вашей армии !</font>"

	"DOTA_Tooltip_modifier_race_buff"									"Leader's buff"
	"DOTA_Tooltip_modifier_race_buff_Description"						"Воин под командыванием лидера становится сильнее !"

//Riki
		"npc_dota_hero_riki"	"Рики "
		"DOTA_Tooltip_ability_inherit_riki_buff"									"Riki buff"
		"DOTA_Tooltip_ability_inherit_riki_buff_Description"						"Выходец из странного, низкорослого народа, который при помощи своих клинков, малого роста и ловкости восторгает сатиров и ведёт их к победе! "
		"DOTA_Tooltip_ability_inherit_riki_buff_dmg_bonus"						"Бонусный урон :"
		"DOTA_Tooltip_ability_inherit_riki_buff_as_bonus"						"Бонусная скорость атаки :"
		"DOTA_Tooltip_ability_inherit_riki_buff_evasion_bonus"						"Дополнительное уклонение :"
		"DOTA_Tooltip_modifier_inherit_riki_buff"								"Riki buff"
		"DOTA_Tooltip_modifier_inherit_riki_buff_Description"					"Является вожаком сатиров."

		"DOTA_Tooltip_ability_riki_buff"									"Riki buff"
		"DOTA_Tooltip_ability_riki_buff_Description"						"Под командованием вождя сатиры становятся сильнее"
		"DOTA_Tooltip_ability_riki_buff_dmg_bonus"							"Бонусный урон :"
		"DOTA_Tooltip_ability_riki_buff_as_bonus"							"Бонусная скорость атаки :"
		"DOTA_Tooltip_ability_riki_buff_evasion_bonus"						"Дополнительное уклонение :"

		"DOTA_Tooltip_modifier_riki_buff"								"Riki buff"
		"DOTA_Tooltip_modifier_riki_buff_Description"					"Является вожаком сатиров."
		
	
		"DOTA_Tooltip_ability_riki_smoke_bomb"                         					   			"Smoke Bomb"
        "DOTA_Tooltip_ability_riki_smoke_bomb_Description"             					   			"Кидает газовую гранату которая ослепляет и отравляет близжайших врагов.\n Враги получают урон ,находясь в дыму."
        "DOTA_Tooltip_ability_riki_smoke_bomb_Lore"                    					   			"The Stealth Assassin's agile movement makes him impossible to escape."
        "DOTA_Tooltip_ability_riki_smoke_bomb_damage"      											"УРОН:"
        "DOTA_Tooltip_ability_riki_smoke_bomb_duration"												"ДЛИТЕЛЬНОСТЬ:"
        "DOTA_Tooltip_ability_riki_smoke_bomb_miss_rate"      										"%ШАНС ПРОМАХА:"
        "DOTA_Tooltip_ability_riki_smoke_bomb_radius"												"РАДИУС:"
        "DOTA_Tooltip_modifier_smoke_bomb_enemy"													"Smoke Bomb"
		"DOTA_Tooltip_modifier_smoke_bomb_enemy_Description"										""
        "DOTA_Tooltip_Ability_special_bonus_unique_riki_smoke_bomb_1"								" Smoke Bomb Silences"
        "DOTA_Tooltip_Ability_special_bonus_unique_riki_smoke_bomb_2"								"Deal Double Smoke Bomb Damage Upon Impact"

		"DOTA_Tooltip_ability_riki_dance"                            								"Dance Strike"
        "DOTA_Tooltip_ability_riki_dance_Description"                								"Телепортируется за спину всех врагов находящихся между точкой и Riki.\n Наносит часть от полного урона. Может накладывать модификаторы атаки."
        "DOTA_Tooltip_ability_riki_dance_Lore"                       								"Since his escape during the night of his betrayal, Riki has valued the use of a simple smoke screen to confuse his opponents."
        "DOTA_Tooltip_ability_riki_dance_damage"      												"%УРОН:"
        "DOTA_Tooltip_ability_riki_dance_range"														"ДАЛЬНОСТЬ:"
        "DOTA_Tooltip_ability_riki_dance_width"														"ШИРИНА:"
        "DOTA_Tooltip_Ability_special_bonus_unique_riki_dance_1"									"+900 Dance Strike Range"
        "DOTA_Tooltip_Ability_special_bonus_unique_riki_dance_2"									"+25% Mini-Stun Chance During Dance Strike"

		"DOTA_Tooltip_ability_riki_cloak_and_dagger_custom"	"Cloak and Dagger(изм)"
		"DOTA_Tooltip_ability_riki_cloak_and_dagger_custom_Description"	" Каждая атака со спины дает дополнительную ловкость и наносит дополнительный урон, который зависит от ловкости. "
		"DOTA_Tooltip_ability_riki_cloak_and_dagger_custom_Lore"	"Рикимару идет за тобой."
		"DOTA_Tooltip_ability_riki_cloak_and_dagger_custom_agility_damage"	"%УРОНА ОТ ЛОВКОСТИ:"
		"DOTA_Tooltip_ability_riki_cloak_and_dagger_custom_agi_gain"	"ЛОВКОСТИ ЗА УДАР:"
		"DOTA_Tooltip_ability_riki_cloak_and_dagger_custom_duration"	"ДЛИТЕЛЬНОСТЬ:"

		
		"DOTA_Tooltip_ability_tricks_of_the_trade_datadriven"	"Tricks of the Trade(изм)"
		"DOTA_Tooltip_ability_tricks_of_the_trade_datadriven_Description"	"ПРЕРЫВАЕМАЯ — Герой пропадает из нашего мира, каждую секунду атакуя со спины всех противников в радиусе %range% ед. вокруг себя.\n\nУлучшается с Aghanim's Scepter."
		"DOTA_Tooltip_ability_tricks_of_the_trade_datadriven_Lore"	"Riki считает, что в бою все средства хороши, и не стесняется бить в спину."
		"DOTA_Tooltip_ability_tricks_of_the_trade_datadriven_Note0"	"Атакует один раз в начале применения и каждую секунду после этого."
		"DOTA_Tooltip_ability_tricks_of_the_trade_datadriven_Note1"	"Передвижение во время исчезновения отменит применение способности."
		"DOTA_Tooltip_ability_tricks_of_the_trade_datadriven_range"	"РАДИУС:"
		"DOTA_Tooltip_ability_tricks_of_the_trade_datadriven_attack_count"	"МАКС. АТАК ПО СУЩЕСТВУ:"
		
		////===============================================================================================================
		// Riki's Tricks of the Trade
		////=============================================================================================================== 

		"DOTA_Tooltip_ability_riki_tricks_of_the_trade_custom"                                "Tricks of the Trade"
		"DOTA_Tooltip_ability_riki_tricks_of_the_trade_custom_Description"                    "ПРЕРЫВАЕМАЯ — Герой пропадает из нашего мира, каждую секунду атакуя со спины всех противников каждые %attack_interval% секунд . \n<font color='#FF7800'>Martyr Strikes:</font> Также атакует случайную цель внутри круга ,базируяс на вашей скорости атаки !\n\n<font color='#FF7800'>Martyr Strikes:</font> Также атакует случайную цель внутри круга ,базируяс на вашей скорости атаки !\n\n<font color='#00FF40'>Улучшается  Aghanim's Scepter.</font>"     
		"DOTA_Tooltip_ability_riki_tricks_of_the_trade_custom_Lore"                           "What the eye doesn't see, the heart is pierced by."
		"DOTA_Tooltip_ability_riki_tricks_of_the_trade_custom_area_of_effect"                 "РАДИУС:"
		"DOTA_Tooltip_ability_riki_tricks_of_the_trade_custom_duration"                 		"ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_riki_tricks_of_the_trade_custom_scepter_attack_speed_mult"      "SCEPTER ATTACK SPEED MULTIPLIER:"
		"DOTA_Tooltip_ability_riki_tricks_of_the_trade_custom_aghanim_description"            "Allows Riki to target an allied hero, centering Tricks of the Trade on it."

		"DOTA_Tooltip_modifier_riki_tricks_of_the_trade_custom_primary"                       "Tricks of the Trade"
		"DOTA_Tooltip_modifier_riki_tricks_of_the_trade_custom_primary_Description"           "Invulnerable and slashing enemies in the area."        
		
		"DOTA_Tooltip_ability_riki_summon_shadow"	"Shadow"
		"DOTA_Tooltip_ability_riki_summon_shadow_Description"	"Призывает собственную тень , параметры который полностью зависят от ловкости Riki!"
		"DOTA_Tooltip_ability_riki_summon_shadow_summon_duration"	"ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_riki_summon_shadow_hp_per_agility"	"ЗДОРОВЬЯ ЗА ЛОВКОСТЬ:"
		"DOTA_Tooltip_ability_riki_summon_shadow_armor_per_agility"	"БРОНИ ЗА ЛОВКОСТЬ:"
		"DOTA_Tooltip_ability_riki_summon_shadow_dmg_per_agility"	"УРОНА ЗА ЛОВКОСТЬ:"

		"npc_riki_shadow"	"Тень Рики"
		
//Ogre Magi
		"npc_dota_hero_ogre_magi"	"Ogre Magi"
		"DOTA_Tooltip_ability_inherit_ogre_buff"								"Ogre buff"
		"DOTA_Tooltip_ability_inherit_ogre_buff_Description"					"Наивный, но великий выходец своего народа, способный обратить в пепел любого врага, заслуживши этим доверие союзников и самопожертвование огров! "
		"DOTA_Tooltip_ability_inherit_ogre_buff_dmg_bonus"					"Бонусный урон:"
		"DOTA_Tooltip_ability_inherit_ogre_buff_armor_bonus"					"Бонусная броня:"
		"DOTA_Tooltip_ability_inherit_ogre_buff_hp_bonus"					"Бонус здоровья:"

		"DOTA_Tooltip_modifier_inherit_ogre_buff"								"Ogre buff"
		"DOTA_Tooltip_modifier_inherit_ogre_buff_Description"					"Является вожаком огров."

		"DOTA_Tooltip_ability_ogre_buff"									"Ogre buff"
		"DOTA_Tooltip_ability_ogre_buff_Description"						"Под командованием вождя огры становятся сильнее "
		"DOTA_Tooltip_ability_ogre_buff_dmg_bonus"						"Бонусный урон:"
		"DOTA_Tooltip_ability_ogre_buff_armor_bonus"						"Бонусная броня:"
		"DOTA_Tooltip_ability_ogre_buff_hp_bonus"						"Бонус здоровья:"

		"DOTA_Tooltip_ability_ogre_magi_greed"								"Greed"
		"DOTA_Tooltip_ability_ogre_magi_greed_Description"					"Огры глупые, но никогда не откажутся от лишней монетки."
		"DOTA_Tooltip_ability_ogre_magi_greed_bonus_gold_pct"					"%УВЕЛИЧЕНИЕ ПОЛУЧАЕМОГО ЗОЛОТА:"

		"DOTA_Tooltip_ability_ogre_magi_fireblast_new"							"Fireblast"
		"DOTA_Tooltip_ability_ogre_magi_fireblast_new_Description"				"Поражает врага огненной волной, которая наносит урон, оглушает и прыгает по ближайшим целям. Дополнительные удары наносят на 50% меньше урона. Может ударить основную цель несколько раз."
		"DOTA_Tooltip_ability_ogre_magi_fireblast_new_damage"					"УРОН:"
		"DOTA_Tooltip_ability_ogre_magi_fireblast_new_bounces"					"КОЛИЧЕСТВО ПРЫЖКОВ:"
		"DOTA_Tooltip_ability_ogre_magi_fireblast_new_stun_duration"				"ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
		"DOTA_Tooltip_ability_ogre_magi_fireblast_new_bounce_range"				"РАДИУС ПРЫЖКОВ:"
		"DOTA_Tooltip_ability_ogre_magi_fireblast_new_bounce_networth_to_damage_pct"		"%ДОПОЛНИТЕЛЬНЫЙ УРОН ОТ НЕТВОРСА:"

		"DOTA_Tooltip_ability_ogre_magi_ignite_new"							"Ignite"
		"DOTA_Tooltip_ability_ogre_magi_ignite_new_Description"					"Обливает область летучими химикатами, провоцируя возгорание. Все враги попавшие в пламя будут получать урон и терять магическое сопротивление каждую секунду."
		"DOTA_Tooltip_ability_ogre_magi_ignite_new_damage_per_sec"				"УРОН В СЕКУНДУ:"
		"DOTA_Tooltip_ability_ogre_magi_ignite_new_damage_radius"				"РАДИУС:"
		"DOTA_Tooltip_ability_ogre_magi_ignite_new_magic_red_per_stack"				"%СНИЖЕНИЕ МАГ РЕЗИСТА ЗА СТАК:"
		"DOTA_Tooltip_ability_ogre_magi_ignite_new_networth_to_damage_pct"			"%ДОП УРОНА В СЕК ОТ НЕТВОРСА:"
		"DOTA_Tooltip_ability_ogre_magi_ignite_new_debuff_duration"				"ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_modifier_ogre_magi_ignite_new_debuff"						"Ignite"
		"DOTA_Tooltip_modifier_ogre_magi_ignite_new_debuff_Description"				"Каждый стак дает снижение маг резиста цели."
		
		"DOTA_Tooltip_ability_ogre_magi_flamebreak"							"Flamebreak"
		"DOTA_Tooltip_ability_ogre_magi_flamebreak_Description"					"Кидает бутылку горящего масла, которая взрывается в указанном месте, наносит урон от взрыва и поджигает врагов нанося урон в секунду и увеличивая входящий урон по цели."
		"DOTA_Tooltip_ability_ogre_magi_flamebreak_damage"					"УРОН ОТ ПОПАДАНИЯ:"
		"DOTA_Tooltip_ability_ogre_magi_flamebreak_damage_radius"				"РАДИУС:"
		"DOTA_Tooltip_ability_ogre_magi_flamebreak_damage_per_sec"				"УРОН В СЕКУНДУ:"
		"DOTA_Tooltip_ability_ogre_magi_flamebreak_debuff_duration"				"ДЛИТЕЛЬНОСТЬ ГОРЕНИЯ:"
		"DOTA_Tooltip_ability_ogre_magi_flamebreak_networth_to_damage_pct"			"%БОНУС УРОНА ПРИ ПОПАДАНИИ ОТ НЕТВОРСА:"
		"DOTA_Tooltip_ability_ogre_magi_flamebreak_networth_to_damage_per_sec_pct"		"%БОНУС УРОНА ПРИ ГОРЕНИИ ОТ НЕТВОРСА:"
		"DOTA_Tooltip_ability_ogre_magi_flamebreak_incoming_damage_increase"			"%УВЕЛИЧЕНИЕ ВХОДЯЩЕГО УРОНА:"
		"DOTA_Tooltip_modifier_ogre_magi_flamebreak"							"Flamebreak"
		"DOTA_Tooltip_modifier_ogre_magi_flamebreak_Description"				"Наносит урон в секунду и увеличивает входящий урон."

		"DOTA_Tooltip_ability_ogre_magi_jackpot"							"Jackpot"
		"DOTA_Tooltip_ability_ogre_magi_jackpot_Description"					"Жадность огров не знает границ, а их любовь к фортуне так и подавно. Ogre Magi крутит рулетку получая рандомное количество золота в промежутке."
		"DOTA_Tooltip_ability_ogre_magi_jackpot_min_gold"					"МИНИМАЛЬНОЕ ЗОЛОТО:"
		"DOTA_Tooltip_ability_ogre_magi_jackpot_max_gold"					"МАКСИМАЛЬНОЕ ЗОЛОТО:"
		
		"DOTA_Tooltip_ability_ogre_magi_multicast_new"							"Multicast"
		"DOTA_Tooltip_ability_ogre_magi_multicast_new_Description"				"Позволяет способностям и предметам героя срабатывать по нескольку раз за одно применение.<font color='#FFD700'> Шанс на срабатывание мультикаста для Jackpot в 2 раза ниже!</font>"
		"DOTA_Tooltip_ability_ogre_magi_multicast_new_x2_chance"				"%ШАНС Х2:"
		"DOTA_Tooltip_ability_ogre_magi_multicast_new_x3_chance"				"%ШАНС Х3:"
		"DOTA_Tooltip_ability_ogre_magi_multicast_new_x4_chance"				"%ШАНС Х4:"
		"DOTA_Tooltip_modifier_multicast_new"								"Multicast"
		"DOTA_Tooltip_modifier_multicast_new_Description"					"Позволяет способностям и предметам героя срабатывать по нескольку раз за одно применение."	



//Troll_Warlorld
		"npc_dota_hero_troll_warlord"	"Troll Warlord"
		"DOTA_Tooltip_ability_inherit_troll_buff"									"Warlord buff"
		"DOTA_Tooltip_ability_inherit_troll_buff_Description"						"Один из величайших командиров армии троллей, которой способен вселить страх в любого своего противника и воодушевить солдат биться до последней капли крови во что бы то ни стало! "
		"DOTA_Tooltip_ability_inherit_troll_buff_evasion_bonus"						"Дополнительное уклонение :"
		"DOTA_Tooltip_ability_inherit_troll_buff_hp_bonus"							"Бонус здоровья :"
		"DOTA_Tooltip_ability_inherit_troll_buff_magical_resist"						"Магическая защита :"
