"lang"
{
        "Language"                "schinese"
        "Game_notification_ice_rapier_request_message1"                                "<font color='#00FFFF'>霜之哭出翔：</font><font color='#FFD700'> 别太贪心，你只能同时持有一把圣剑！ "


        "Game_notification_cuirass_cursed_request_message"                                "<font color='#00FF00'>SPIRIT OF CURSED CUIRASS : </font><font color='#FFD700'> 你太弱了！还不能持有它！ <br> 全属性要求： <font color='#00FF00'>1000</font></font>"
        
        "Game_notification_wolf_announce"                                "<font color='#FFD700'> 野生狼群： 感谢你解救我们，我们愿意加入你的阵营！</font>"
        "Game_notification_centaur_announce"                        "<font color='#FFD700'>半人马： 感谢你解救我们，我们愿意加入你的阵营！</font>"
        "Game_notification_ogre_announce"                                "<font color='#FFD700'> 食人魔： 感谢你解救我们，我们愿意加入你的阵营！</font>"
        "Game_notification_dragon_announce"                                "<font color='#FFD700'> 巨龙： 感谢你解救我们，我们愿意加入你的阵营！</font>"
        "Game_notification_kobold_announce"                                "<font color='#FFD700'> 狗头人： 感谢你解救我们，我们愿意加入你的阵营！</font>"
        "Game_notification_golem_announce"                                "<font color='#FFD700'> 石头人： 感谢你解救我们，我们愿意加入你的阵营！</font>"
        "Game_notification_troll_announce"                                "<font color='#FFD700'> 巨魔：： 感谢你解救我们，我们愿意加入你的阵营！</font>"
        "Game_notification_satyr_announce"                                "<font color='#FFD700'> 萨特： 感谢你解救我们，我们愿意加入你的阵营！</font>"
        "Game_notification_ursa_announce"                                "<font color='#FFD700'> 熊怪： 感谢你解救我们，我们愿意加入你的阵营！</font>"
        "Game_notification_lizard_announce"                                "<font color='#FFD700'> 雷霆蜥蜴: ： 感谢你解救我们，我们愿意加入你的阵营！</font>"


        "DOTA_Tooltip_modifier_race_buff"                                                                        "领袖"
        "DOTA_Tooltip_modifier_race_buff_Description"                                                "有领袖领导的战士会变得更强！"


//Riki
                "npc_dota_hero_riki"    "力丸"
                "DOTA_Tooltip_ability_inherit_riki_buff"                                                                        "萨特增强"
                "DOTA_Tooltip_ability_inherit_riki_buff_Description"                                            "出身于一个奇异且矮小的种族，他凭借刀刃、矮小的身型和敏捷的身手取悦萨特族人并带领他们赢得胜利"
                "DOTA_Tooltip_ability_inherit_riki_buff_dmg_bonus"                                              "%额外伤害 :"
                "DOTA_Tooltip_ability_inherit_riki_buff_as_bonus"                                               "额外攻速:"
                "DOTA_Tooltip_ability_inherit_riki_buff_evasion_bonus"                                          "%额外闪避 :"
                "DOTA_Tooltip_modifier_inherit_riki_buff"                                                               "萨特增强"
                "DOTA_Tooltip_modifier_inherit_riki_buff_Description"                                   "萨特领导者"

                "DOTA_Tooltip_ability_riki_buff"                                                                        "萨特增强"
                "DOTA_Tooltip_ability_riki_buff_Description"                                            "萨特现在更猛了!"
                "DOTA_Tooltip_ability_riki_buff_dmg_bonus"                                                      "额外攻击力 :"
                "DOTA_Tooltip_ability_riki_buff_as_bonus"                                                       "额外攻速 :"
                "DOTA_Tooltip_ability_riki_buff_evasion_bonus"                                          "%闪避 :"

                "DOTA_Tooltip_modifier_riki_buff"                                                               "萨特增强"
                "DOTA_Tooltip_modifier_riki_buff_Description"                                   "萨特领导者."
        
                "DOTA_Tooltip_ability_riki_smoke_bomb"                                                                                  "烟雾"
        "DOTA_Tooltip_ability_riki_smoke_bomb_Description"                                                                      "丢下一个烟雾弹，困在其中的敌人会被致盲并且持续受到伤害。"
        "DOTA_Tooltip_ability_riki_smoke_bomb_Lore"                                                                             "隐形刺客迅捷的动作让他的目标几乎不可能逃脱。"
        "DOTA_Tooltip_ability_riki_smoke_bomb_damage"                                                                                           "伤害:"
        "DOTA_Tooltip_ability_riki_smoke_bomb_duration"                                                                                         "持续时间:"
        "DOTA_Tooltip_ability_riki_smoke_bomb_miss_rate"                                                                                "%闪避概率:"
        "DOTA_Tooltip_ability_riki_smoke_bomb_radius"                                                                                           "影响范围:"
        "DOTA_Tooltip_modifier_smoke_bomb_enemy"                                                                                                        "烟雾"
                "DOTA_Tooltip_modifier_smoke_bomb_enemy_Description"                                                                            ""
        "DOTA_Tooltip_Ability_special_bonus_unique_riki_smoke_bomb_1"                                                           " 烟雾弹会沉默受影响单位"
        "DOTA_Tooltip_Ability_special_bonus_unique_riki_smoke_bomb_2"                                                           "对受影响单位造成双倍伤害"

                "DOTA_Tooltip_ability_riki_dance"                                                                                       "闪烁突袭"
        "DOTA_Tooltip_ability_riki_dance_Description"                                                                           "闪烁到敌人背后并痛击敌人.力丸只能攻击在其攻击范围之内的敌人.\n造成额外伤害. 继承攻击特效."
        "DOTA_Tooltip_ability_riki_dance_Lore"                                                                                  "自从他在背叛之夜逃脱后，力丸就发掘出这能迷惑对手的简单烟幕的价值。"
        "DOTA_Tooltip_ability_riki_dance_damage"                                                                                                "%伤害:"
        "DOTA_Tooltip_ability_riki_dance_range"                                                                                                         "范围:"
        "DOTA_Tooltip_ability_riki_dance_width"                                                                                                         "范围宽度:"
        "DOTA_Tooltip_Ability_special_bonus_unique_riki_dance_1"                                                                        "加900码范围"
        "DOTA_Tooltip_Ability_special_bonus_unique_riki_dance_2"                                                                        "25%造成击晕"

                "DOTA_Tooltip_ability_riki_cloak_and_dagger_custom"                                                              "刀光碟影（修正）"
                "DOTA_Tooltip_ability_riki_cloak_and_dagger_custom_Description"                                  "每次力丸被刺敌人，都会造成基于敏捷的伤害，并且给予自己额外敏捷."
                "DOTA_Tooltip_ability_riki_cloak_and_dagger_custom_agility_damage"                       "%每敏捷伤害:"
                "DOTA_Tooltip_ability_riki_cloak_and_dagger_custom_agi_gain"     "额外敏捷:"
                "DOTA_Tooltip_ability_riki_cloak_and_dagger_custom_Lore"                                                 "力丸来找你了。"
                "DOTA_Tooltip_ability_riki_cloak_and_dagger_custom_Note0"                                                "当力丸隐身的时候不会自动攻击（但他并不会隐身）。"
                "DOTA_Tooltip_ability_riki_cloak_and_dagger_custom_Note1"                                                "幻象会在从背后攻击时播放背刺音效，但不会造成任何额外伤害"
                "DOTA_Tooltip_ability_riki_cloak_and_dagger_custom_Note2"                                                "额外伤害不会被闪避."
                "DOTA_Tooltip_ability_riki_cloak_and_dagger_custom_duration"     "持续时间:"

                
                "DOTA_Tooltip_ability_riki_tricks_of_the_trade_datadriven"                                                                      "绝杀秘技（修正）"
                "DOTA_Tooltip_ability_riki_tricks_of_the_trade_datadriven_Description"                                          "已取消—— 转移出现实位面，从背后随机攻击附近的敌方英雄。\n\可用神杖升级。"
                "DOTA_Tooltip_ability_riki_tricks_of_the_trade_datadriven_Lore"                                                 "隐形刺客从不忌讳使用肮脏的战斗手法，尤其擅长从对手的背后发动攻击。"
                "DOTA_Tooltip_ability_riki_tricks_of_the_trade_datadriven_Note0"                                                        "释放后立即触发一次，此后每秒触发一次."
                "DOTA_Tooltip_ability_riki_tricks_of_the_trade_datadriven_Note1"                                                        "移动会打断施法."
                "DOTA_Tooltip_ability_riki_tricks_of_the_trade_datadriven_range"                                                        "半径:"
                "DOTA_Tooltip_ability_riki_tricks_of_the_trade_datadriven_attack_count"                                 "每个单位最大攻击次数:"
                
                ////===============================================================================================================
                // Riki's Tricks of the Trade
                ////=============================================================================================================== 

                "DOTA_Tooltip_ability_riki_tricks_of_the_trade_custom"                                "绝杀秘技"
                "DOTA_Tooltip_ability_riki_tricks_of_the_trade_custom_Description"                    "力丸转移出现实位面，并且每 %attack_interval% 秒会攻击范围内所有敌人.\n<font color='#FF7800'>折磨打击:</font>根据攻击速度额外攻击范围内的敌人, .\n\n<font color='#00FF40'>可被A杖升级</font>"     
                "DOTA_Tooltip_ability_riki_tricks_of_the_trade_custom_Lore"                           "眼不见，心刺穿."
                "DOTA_Tooltip_ability_riki_tricks_of_the_trade_custom_area_of_effect"                 "半径"
                "DOTA_Tooltip_ability_riki_tricks_of_the_trade_custom_duration"                           "持续时间"
                "DOTA_Tooltip_ability_riki_tricks_of_the_trade_custom_scepter_attack_speed_mult"      "神杖攻击速度倍率:"
                "DOTA_Tooltip_ability_riki_tricks_of_the_trade_custom_aghanim_description"            "可以对友方英雄施放，持续时间里藏在他们体内。."

                "DOTA_Tooltip_modifier_riki_tricks_of_the_trade_custom_primary"                       "绝杀秘技"
                "DOTA_Tooltip_modifier_riki_tricks_of_the_trade_custom_primary_Description"           "无敌且致命."        
                
                "DOTA_Tooltip_ability_riki_summon_shadow"       "黯影"
                "DOTA_Tooltip_ability_riki_summon_shadow_Description"   "力丸创造了属于自己暗影，敏捷影响暗影状态属性"
                "DOTA_Tooltip_ability_riki_summon_shadow_summon_duration"       "持续时间:"
                "DOTA_Tooltip_ability_riki_summon_shadow_hp_per_agility"        "每敏捷生命:"
                "DOTA_Tooltip_ability_riki_summon_shadow_armor_per_agility"     "每敏捷护甲:"
                "DOTA_Tooltip_ability_riki_summon_shadow_dmg_per_agility"       "每敏捷攻击力:"
        
                "npc_riki_shadow"       "力丸黯影"
                
//Ogre Magi
                "npc_dota_hero_ogre_magi"       "群主Nigel"
                "DOTA_Tooltip_ability_inherit_ogre_buff"                                                                        "群友增强"
                "DOTA_Tooltip_ability_inherit_ogre_buff_Description"                                            "可爱的群主 ，能够把敌人萌出血， 他让所有群友变得更猛了！ "
                "DOTA_Tooltip_ability_inherit_ogre_buff_dmg_bonus"                                              "%额外伤害:"
                "DOTA_Tooltip_ability_inherit_ogre_buff_armor_bonus"                                            "额外护甲 :"
                "DOTA_Tooltip_ability_inherit_ogre_buff_hp_bonus"                                               "%额外生命值:"

                "DOTA_Tooltip_modifier_inherit_ogre_buff"                                                               "群友增强"
                "DOTA_Tooltip_modifier_inherit_ogre_buff_Description"                                   "群主"

                "DOTA_Tooltip_ability_ogre_buff"                                                                        "群友增强"
                "DOTA_Tooltip_ability_ogre_buff_Description"                                            "群友们变得更猛了"
                "DOTA_Tooltip_ability_ogre_buff_dmg_bonus"                                              "%额外伤害:"
                "DOTA_Tooltip_ability_ogre_buff_armor_bonus"                                            "额外护甲 :"
                "DOTA_Tooltip_ability_ogre_buff_hp_bonus"                                               "%额外生命值 :"
		"DOTA_Tooltip_ability_ogre_magi_greed"								"Greed"
		"DOTA_Tooltip_ability_ogre_magi_greed_Description"					"食人魔很愚蠢，但他们从不放弃多余的硬币。"
		"DOTA_Tooltip_ability_ogre_magi_greed_bonus_gold_pct"					"%增加黄金产量:"

		"DOTA_Tooltip_ability_ogre_magi_fireblast_new"							"Fireblast"
		"DOTA_Tooltip_ability_ogre_magi_fireblast_new_Description"				"用一波火力攻击敌人，造成伤害，眩晕并跳向附近的目标。 额外的命中造成的伤害降低50％。 可以多次击中主要目标。"
		"DOTA_Tooltip_ability_ogre_magi_fireblast_new_damage"					"损伤:"
		"DOTA_Tooltip_ability_ogre_magi_fireblast_new_bounces"					"弹跳数:"
		"DOTA_Tooltip_ability_ogre_magi_fireblast_new_stun_duration"				"持续时间:"
		"DOTA_Tooltip_ability_ogre_magi_fireblast_new_bounce_range"				"启动半径:"
		"DOTA_Tooltip_ability_ogre_magi_fireblast_new_bounce_networth_to_damage_pct"		"%净资产的奖金损失:"

		"DOTA_Tooltip_ability_ogre_magi_ignite_new"							"Ignite"
		"DOTA_Tooltip_ability_ogre_magi_ignite_new_Description"					"用易挥发的化学物质覆盖区域，引起火灾。 所有陷入火焰中的敌人都会受到伤害并每秒失去魔法抗性。"
		"DOTA_Tooltip_ability_ogre_magi_ignite_new_damage_per_sec"				"每秒伤害输出:"
		"DOTA_Tooltip_ability_ogre_magi_ignite_new_damage_radius"				"半径:"
		"DOTA_Tooltip_ability_ogre_magi_ignite_new_magic_red_per_stack"				"%减少每层的磁阻:"
		"DOTA_Tooltip_ability_ogre_magi_ignite_new_networth_to_damage_pct"			"%每秒额外损坏:"
		"DOTA_Tooltip_ability_ogre_magi_ignite_new_debuff_duration"				"持续时间:"
		"DOTA_Tooltip_modifier_ogre_magi_ignite_new_debuff"						"Ignite"
		"DOTA_Tooltip_modifier_ogre_magi_ignite_new_debuff_Description"				"每层堆叠都会减少目标的魔抗。"
		
		"DOTA_Tooltip_ability_ogre_magi_flamebreak"							"Flamebreak"
		"DOTA_Tooltip_ability_ogre_magi_flamebreak_Description"					"投掷一瓶燃烧的燃油，在目标位置爆炸，造成爆炸伤害并使敌人着火，每秒造成伤害并增加对目标的伤害。"
		"DOTA_Tooltip_ability_ogre_magi_flamebreak_damage"					"打击伤害:"
		"DOTA_Tooltip_ability_ogre_magi_flamebreak_damage_radius"				"半径:"
		"DOTA_Tooltip_ability_ogre_magi_flamebreak_damage_per_sec"				"每秒伤害输出:"
		"DOTA_Tooltip_ability_ogre_magi_flamebreak_debuff_duration"				"燃烧时间:"
		"DOTA_Tooltip_ability_ogre_magi_flamebreak_networth_to_damage_pct"			"%净资产的奖金打击:"
		"DOTA_Tooltip_ability_ogre_magi_flamebreak_networth_to_damage_per_sec_pct"		"%净值每秒造成的额外伤害:"
		"DOTA_Tooltip_ability_ogre_magi_flamebreak_incoming_damage_increase"			"%伤害输入增加:"
		"DOTA_Tooltip_modifier_ogre_magi_flamebreak"							"Flamebreak"
		"DOTA_Tooltip_modifier_ogre_magi_flamebreak_Description"				"每秒造成伤害，并增加传入伤害。"

		"DOTA_Tooltip_ability_ogre_magi_jackpot"							"Jackpot"
		"DOTA_Tooltip_ability_ogre_magi_jackpot_Description"					"食人魔的贪婪无止境，他们对财富的热爱甚至更糟。 食人魔魔法师旋转轮盘，以在两者之间随机抽取黄金。"
		"DOTA_Tooltip_ability_ogre_magi_jackpot_min_gold"					"最低金:"
		"DOTA_Tooltip_ability_ogre_magi_jackpot_max_gold"					"最大金:"
		
		"DOTA_Tooltip_ability_ogre_magi_multicast_new"							"Multicast"
		"DOTA_Tooltip_ability_ogre_magi_multicast_new_Description"				"允许英雄的技能和物品在一次施法中触发多次。<font color='#FFD700'> 大奖触发多播的机会降低了2倍！</font>"
		"DOTA_Tooltip_ability_ogre_magi_multicast_new_x2_chance"				"%机会X2:"
		"DOTA_Tooltip_ability_ogre_magi_multicast_new_x3_chance"				"%机会X3:"
		"DOTA_Tooltip_ability_ogre_magi_multicast_new_x4_chance"				"%机会X4:"
		"DOTA_Tooltip_modifier_multicast_new"								"Multicast"
		"DOTA_Tooltip_modifier_multicast_new_Description"					"允许英雄的技能和物品在一次施法中触发多次。"	

 
//Troll_Warlorld
                "npc_dota_hero_troll_warlord"   "巨魔战将"
                "DOTA_Tooltip_ability_inherit_troll_buff"                                                                       "巨馍蘸酱"
                "DOTA_Tooltip_ability_inherit_troll_buff_Description"                                           "巨魔军最伟大的指挥官! 他的士兵们永不溃败！"
                "DOTA_Tooltip_ability_inherit_troll_buff_evasion_bonus"                                         "%闪避："
                "DOTA_Tooltip_ability_inherit_troll_buff_hp_bonus"                                                      "%额外生命值:"
                "DOTA_Tooltip_ability_inherit_troll_buff_magical_resist"                                                "%法术抵抗 :"
                "DOTA_Tooltip_ability_inherit_troll_buff_armor_bonus"                                           "额外护甲:"
                "DOTA_Tooltip_modifier_inherit_troll_buff"                                                              "巨馍蘸酱"
                "DOTA_Tooltip_modifier_inherit_troll_buff_Description"                                  "最伟大的巨魔领导者。 "

                "DOTA_Tooltip_ability_troll_buff"                                                                       "巨馍蘸酱"
                "DOTA_Tooltip_ability_troll_buff_Description"                                           "巨魔们！奥里给 !"
                "DOTA_Tooltip_ability_troll_buff_evasion_bonus"                                         "闪避 :"
                "DOTA_Tooltip_ability_troll_buff_hp_bonus"                                              "%额外生命值:"
                "DOTA_Tooltip_ability_troll_buff_magical_resist"                                                "%法术抵抗 :"
                "DOTA_Tooltip_ability_troll_buff_armor_bonus"                                           "额外护甲 :"

                "DOTA_Tooltip_ability_troll_warlord_berserkers_rage_datadriven"                                 "狂战士之怒"
                "DOTA_Tooltip_ability_troll_warlord_berserkers_rage_datadriven_Description"             "用怒气增加自己打击的力度与精度。!"
                "DOTA_Tooltip_ability_troll_warlord_berserkers_rage_datadriven_Lore"                            " 跟巨魔战将的怒火一样，他的斧头也是源源不断。"
                "DOTA_Tooltip_ability_troll_warlord_berserkers_rage_datadriven_accuracy_perc"   "%ACCURACY:"
                "DOTA_Tooltip_ability_troll_warlord_berserkers_rage_datadriven_bonus_damage"    "额外攻击力:"


                "DOTA_Tooltip_ability_troll_warlord_whirling_axes_melee_datadriven"                             "旋转飞斧"
                "DOTA_Tooltip_ability_troll_warlord_whirling_axes_melee_datadriven_Description" "巨魔战将掷出两把飞斧环绕在他周围，使敌方单位受到伤害，并且部分普通攻击将不能命中。"
                "DOTA_Tooltip_ability_troll_warlord_whirling_axes_melee_datadriven_Lore"                        "要靠近你的敌人。"
                "DOTA_Tooltip_ability_troll_warlord_whirling_axes_melee_datadriven_damage"                      "伤害:"
                "DOTA_Tooltip_ability_troll_warlord_whirling_axes_melee_datadriven_max_range"           "范围:"
                "DOTA_Tooltip_ability_troll_warlord_whirling_axes_melee_datadriven_blind_duration"      "致盲持续时间:"
                "DOTA_Tooltip_ability_troll_warlord_whirling_axes_melee_datadriven_blind_pct"           "%闪避概率:"
                "DOTA_Tooltip_ability_troll_warlord_whirling_axes_melee_datadriven_whirl_duration"      "飞斧持续时间:"
                "DOTA_Tooltip_ability_troll_warlord_whirling_axes_melee_datadriven_armor_reduction"     "护甲减少："


                "DOTA_Tooltip_ability_troll_warlord_battle_trance_datadriven"                                           "战斗专注"
                "DOTA_Tooltip_ability_troll_warlord_battle_trance_datadriven_Description"                       "完全的疯狂让你出手更快，更狠。增加攻击速度，每次攻击击晕敌人!"
                "DOTA_Tooltip_ability_troll_warlord_battle_trance_datadriven_Lore"                                      "纯粹的仇恨让气血迅速上涌，刀剑也随之飞舞。."
                "DOTA_Tooltip_ability_troll_warlord_battle_trance_datadriven_trance_duration"           "持续时间:"
//              "DOTA_Tooltip_ability_troll_warlord_battle_trance_datadriven_attack_speed"                      "攻击速度加成:"
                "DOTA_Tooltip_ability_troll_warlord_battle_trance_datadriven_attack_const"      "攻击间隔:"
                "DOTA_Tooltip_ability_troll_warlord_battle_trance_datadriven_bash_duration"     "眩晕时间:"
                "DOTA_Tooltip_ability_troll_warlord_battle_trance_datadriven_bonus_damage"      "眩晕伤害"

                "DOTA_Tooltip_ability_troll_warlord_battle_trance_mass"                                         "战斗专注（范围)"
                "DOTA_Tooltip_ability_troll_warlord_battle_trance_mass_Description"                     "完全的疯狂让你出手更快，更狠。增加攻击速度，每次攻击击晕敌人!"
                "DOTA_Tooltip_ability_troll_warlord_battle_trance_mass_Lore"                                    "纯粹的仇恨让气血迅速上涌，刀剑也随之飞舞。."
                "DOTA_Tooltip_ability_troll_warlord_battle_trance_mass_trance_duration"         "持续时间:"
//              "DOTA_Tooltip_ability_troll_warlord_battle_trance_mass_attack_speed"                    "攻击速度加成:"
                "DOTA_Tooltip_ability_troll_warlord_battle_trance_mass_attack_const"    "攻击间隔:"
                "DOTA_Tooltip_ability_troll_warlord_battle_trance_mass_bash_duration"   "眩晕时间:"
                "DOTA_Tooltip_ability_troll_warlord_battle_trance_mass_bonus_damage"    "眩晕伤害:"
                "DOTA_Tooltip_ability_troll_warlord_battle_trance_mass_radius"                  "半径:"

//Huskar
                "npc_dota_hero_huskar"  "哈斯卡"
